Bacia Hidrográfica;Aproveitamento Hidráulico;N.º Contrato Concessão (CC);Finalidade CC;Data CC - Início;Data CC - Termo;Outros Usos albufeira;RH;Região hidrográfica;Código da massa de água;Designação da Massa de água
Lima;Alto Lindoso;CC N.º  01/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;Lazer;RH1;Minho e Lima;PT01LIM0028;Albufeira do Alto Lindoso
Lima;Labruja/Rendufe;Alvará de Licença nº 43 de 27.6.1990;Energia;15/02/1991;14/02/2026;-;RH1;Minho e Lima;PT01LIM0045;Rio Labruja
Lima;Touvedo;CC N.º  02/ENERGIA/INAG/2008;Energia;08/03/2008;31/12/2052;Abastecimento público - CC;RH1;Minho e Lima;PT01LIM0036;Albufeira de Touvedo
Minho;France (Covas);"Decreto de 11 de março de 1970, publicado
23.4.1970";Energia;23/04/1970;22/04/2040;-;RH1;Minho e Lima;PT01MIN0021;Rio Coura
Minho;Pagade;Alvará de Licença nº 8/89 de 04/12/1989;Energia;21/09/1994;21/09/2029;-;RH1;Minho e Lima;PT01MIN0021;Rio Coura
Minho;Paus;Licença de Alvará nº 19/89, de 22/12/1989;Energia;21/09/1994;21/09/2029;-;RH1;Minho e Lima;PT01MIN0017;Rio Coura
Ave;Açude/Azenha do Viseu;"Alvará de Licença nº 26/C-A.H.E, de
10/09/2001";Energia;10/09/2001;10/09/2036;-;RH2;Cávado, Ave e Leça;PT02AVE0130;Rio Ave
Ave;Amieiro Galego;Alvará Licença nº 47/90 de 25/07/1990;Energia;em avaliação;em avaliação;-;RH2;Cávado, Ave e Leça;PT02AVE0126;"Rio Ave (HMWB - Jusante B.
Ermal - Guilhofrei)"
Ave;Boavista (Rebordões);Alvará de Licença nº 36/90, de Abril de 1990;Energia;15/12/1994;15/12/2029;-;RH2;Cávado, Ave e Leça;PT02AVE0130;Rio Ave
Ave;Bugio (Silvares);Alvara de Licença nº 27 de 25/03/2003;Energia;25/03/2003;25/03/2038;-;RH2;Cávado, Ave e Leça;PT02AVE0120;Rio Ferro
Ave;Campelos;Alvará de Licença nº 48/90 de 25/07/1990;Energia;13/12/1991;13/12/2026;-;RH2;Cávado, Ave e Leça;PT02AVE0126;"Rio Ave (HMWB - Jusante B.
Ermal - Guilhofrei)"
Ave;Caneiro;"Alvará de Licença nº 006/C-AHE, de
30/04/1996";Energia;09/06/2000;09/06/2035;-;RH2;Cávado, Ave e Leça;PT02AVE0130;Rio Ave
Ave;Caniços (Vizela);"CC N.º C00001/2014.RH2.1198.A, de
144/04/2014";Energia;14/04/2014;14/04/2054;-;RH2;Cávado, Ave e Leça;PT02AVE0130;Rio Ave
Ave;Carvalho do Moínho;"Alvará de Licença nº 007/C.AHE,  de
28/11/1996";Energia;28/11/1996;28/11/2031;-;RH2;Cávado, Ave e Leça;PT02AVE0118;Ribeira do Selho
Ave;Corvete;Decreto de 6.3.1972;Energia;em avaliação;em avaliação;-;RH2;Cávado, Ave e Leça;PT02AVE0120;Rio Ferro
Ave;Lourido;Alvará de Licença n.º 95 de 30/10/1991;Energia;23/07/1998;23/07/2033;-;RH2;Cávado, Ave e Leça;PT02AVE0120;Rio Ferro
Ave;Negrelos II (Vau;"CC N.º C00002/2014-RH2.1198.A, de 14-04-
2014";Energia;14/04/2014;14/04/2054;-;RH2;Cávado, Ave e Leça;PT02AVE0130;Rio Ave
