Aproveitamento Hidráulico;Source;Lat;Lon;Capacity_Web;Código da massa de água;Data CC - Início;Data CC - Termo;Designação da Massa de água;Finalidade CC;Match_Method;N.º Contrato Concessão (CC);OSM_ID;Operator_Web;Outros Usos albufeira;RH;Região hidrográfica;Web_Name;﻿Bacia Hidrográfica
Alto Lindoso;Both;41.8699577;-8.2021796;630 MW;PT01LIM0028;08/03/2008;31/12/2052;Albufeira do Alto Lindoso;Energia;Exact;CC N.º  01/ENERGIA/INAG/2008;1227636482;Energias de Portugal;Lazer;RH1;Minho e Lima;Central Hidroelétrica do Alto Lindoso;Lima
Labruja/Rendufe;Both;41.8415802;-8.5828141;0.9 MW;PT01LIM0045;15/02/1991;14/02/2026;Rio Labruja;Energia;Substring;Alvará de Licença nº 43 de 27.6.1990;1227604650;Aquila Capital;-;RH1;Minho e Lima;Aproveitamento Hidroelétrico de Labruja;Lima
Touvedo;Both;41.8122239;-8.3543074;22 MW;PT01LIM0036;08/03/2008;31/12/2052;Albufeira de Touvedo;Energia;Exact;CC N.º  02/ENERGIA/INAG/2008;1186144682;Energias de Portugal;Abastecimento público - CC;RH1;Minho e Lima;Central Hidroelétrica de Touvedo;Lima
France (Covas);Both;41.8844547;-8.7612747;7 MW;PT01MIN0021;23/04/1970;22/04/2040;Rio Coura;Energia;Substring;"Decreto de 11 de março de 1970, publicado
23.4.1970";251234767;Energias de Portugal;-;RH1;Minho e Lima;Central Hidroelétrica de France;Minho
Pagade;Both;41.8842165;-8.6784151;1.5 MW;PT01MIN0021;21/09/1994;21/09/2029;Rio Coura;Energia;Exact;Alvará de Licença nº 8/89 de 04/12/1989;1227604657;Generg;-;RH1;Minho e Lima;Aproveitamento Hidroelétrico de Pagade;Minho
Paus;Both;41.9146411;-8.5899311;4 MW;PT01MIN0017;21/09/1994;21/09/2029;Rio Coura;Energia;Exact;Licença de Alvará nº 19/89, de 22/12/1989;1227604652;Generg;-;RH1;Minho e Lima;Aproveitamento Hidroelétrico de Paus;Minho
Açude/Azenha do Viseu;Both;41.3506663;-8.6442766;0.4 MW;PT02AVE0130;10/09/2001;10/09/2036;Rio Ave;Energia;Substring;"Alvará de Licença nº 26/C-A.H.E, de
10/09/2001";1227604660;Garfer Internacional;-;RH2;Cávado, Ave e Leça;Central Hídrica do Açude do Viseu;Ave
Amieiro Galego;APA;;;;PT02AVE0126;em avaliação;em avaliação;"Rio Ave (HMWB - Jusante B.
Ermal - Guilhofrei)";Energia;;Alvará Licença nº 47/90 de 25/07/1990;;;-;RH2;Cávado, Ave e Leça;;Ave
Boavista (Rebordões);Both;41.3578919;-8.4487781;3.8 MW;PT02AVE0130;15/12/1994;15/12/2029;Rio Ave;Energia;Substring;Alvará de Licença nº 36/90, de Abril de 1990;1227604664;Hidroelétrica da Boavista;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico da Boavista;Ave
Bugio (Silvares);Both;41.4049625;-8.1522941;0.5 MW;PT02AVE0120;25/03/2003;25/03/2038;Rio Ferro;Energia;Substring;Alvara de Licença nº 27 de 25/03/2003;1227616890;Hidroeléctrica do Búgio;-;RH2;Cávado, Ave e Leça;Aproveitamento Hidroelétrico do Búgio;Ave
